date,IPG2211A2N
1/1/2018,128.9071
2/1/2018,107.6711
3/1/2018,104.5716
4/1/2018,93.4491
5/1/2018,93.2405
6/1/2018,103.3083
7/1/2018,113.3178
8/1/2018,113.2758
9/1/2018,101.5656
10/1/2018,95.3203
11/1/2018,103.575
12/1/2018,112.9498
1/1/2019,123.7687
2/1/2019,112.9837
3/1/2019,106.6593
4/1/2019,88.6661
5/1/2019,91.9084
6/1/2019,98.4431
7/1/2019,112.3367
8/1/2019,111.4833
